?iso2_str	?age	?val_str	?pop	?den
"IQ"	1993	"3553.4"	30399572	74
"IR"	1993	"25763.2"	78868711	48
"IS"	1993	"414.1"	320060	3
"IT"	1993	"21565.4"	60681514	201
"JM"	1993	"666.6"	2847232	252
"JO"	1993	"694.9"	6508271	68
"JP"	1993	"28242.6"	127799000	337
"KE"	1993	"11556.300000000001"	43013341	67
"KG"	1993	"1519.3000000000002"	5550239	27
"KH"	1993	"15217.2"	14805358	82
"KP"	1993	"3276.9"	24051218	198
"KR"	1993	"13580.199999999999"	48875000	491
"KW"	1993	"638.4"	3566437	200
"KZ"	1993	"18418.5"	16600000	6
"LB"	1993	"641.5999999999999"	4224000	404
"LK"	1993	"2125.4"	20860000	309
"LT"	1993	"4939.2"	3187176	50
"LU"	1993	"482.9"	509074	194
"LV"	1993	"1391.8999999999999"	2217053	34
"MA"	1993	"6386.2"	32545170	72
"MD"	1993	"661.5999999999999"	3559500	122
"MK"	1993	"555.1"	2055004	82
"MM"	1993	"23768.7"	60280000	74
"MT"	1993	"65.10000000000001"	452515	1307
"MZ"	1993	"2133.5"	22894000	29
"NG"	1993	"39162.799999999996"	170123740	184
"NI"	1993	"3420.7999999999997"	5891199	42
"NP"	1993	"4643.5"	29331000	199
"NZ"	1993	"13326.3"	4422700	17
"PE"	1993	"7516.8"	29496000	23
"PK"	1993	"28433.1"	177100000	214
"PL"	1993	"28082.0"	38186860	120
"PT"	1993	"4902.8"	10578776	115
"PY"	1993	"7510.2"	6454548	14
"RU"	1993	"63408.9"	143030106	8
"SA"	1993	"6773.2"	27136977	12
"SI"	1993	"1159.5"	2050189	101
"SK"	1993	"3231.3999999999996"	5445324	111
"SN"	1993	"5280.700000000001"	12855153	65
"SV"	1993	"1504.6"	6134000	342
"SY"	1993	"6227.1"	22530746	118
"TG"	1993	"3726.1000000000004"	6619000	117
"TH"	1993	"22159.4"	667201532	132
"TJ"	1993	"1593.6"	7616000	49
"TM"	1993	"4987.099999999999"	5110000	11
"TN"	1993	"2506.4"	10732900	63
"TR"	1993	"33878.100000000006"	74724269	97
"TT"	1993	"336.8"	1227505	254
"TZ"	1993	"12075.6"	43188000	46
"UA"	1993	"23581.5"	45888000	77
"UY"	1993	"7408.0"	3318535	19
"UZ"	1993	"10924.099999999999"	29559100	61
"VE"	1993	"17242.6"	27150	30
"VN"	1993	"24459.5"	91519289	259
"YE"	1993	"3518.3"	25130000	45
"ZA"	1993	"22859.9"	48810427	41
"ZM"	1993	"7906.4"	12935000	17
"ZW"	1993	"4168.4000000000015"	12521000	26
"AE"	1994	"2365.6000000000004"	8264070	99
"AM"	1994	"985.9"	3262200	108
"AO"	1994	"3569.7999999999997"	18498000	15
"AR"	1994	"52061.4"	41281631	15
"AT"	1994	"3758.7000000000003"	8414638	1003
"AU"	1994	"51461.799999999996"	22875104	3
"AZ"	1994	"2646.6"	9165000	106
"BA"	1994	"1101.5"	3839737	75
"BD"	1994	"26159.600000000002"	148000000	964
"BD"	1994	"26159.600000000002"	158570535	964
"BE"	1994	"10126.8"	11007020	355
"BH"	1994	"128.6"	1234571	1627
"BJ"	1994	"4771.099999999999"	9598787	78
"BN"	1994	"335.6"	408786	67
"BO"	1994	"9543.699999999997"	10907778	9
"BR"	1994	"207575.8"	192376496	22
"BW"	1994	"2184.8"	2029307	3
"CD"	1994	"66632.09999999999"	71712867	29
"CG"	1994	"2899.7999999999997"	3686000	11
"CH"	1994	"2441.9"	7952600	188
"CI"	1994	"9837.400000000001"	20617068	64
"CL"	1994	"8773.8"	17248450	23
"CM"	1994	"13627.7"	19100000	40
"CO"	1994	"25141.9"	46366364	41
"CY"	1994	"315.2"	1099341	117
"CY"	1994	"315.2"	838897	117
"DE"	1994	"42431.600000000006"	81799600	229
"DZ"	1994	"6256.9"	37100000	15
"EC"	1994	"5328.1"	15007343	54
"EE"	1994	"911.6999999999999"	1340194	29
"EG"	1994	"24617.7"	90000000	2755
"EG"	1994	"24617.7"	90000000	7136
"EG"	1994	"24617.7"	90000000	76
"ER"	1994	"1234.0"	5824000	43
"ES"	1994	"22550.6"	46030109	93
"ET"	1994	"39072.1"	82101998	74
"FI"	1994	"5818.4"	5404956	16
"GA"	1994	"821.3000000000001"	1475000	6
"GB"	1994	"26536.4"	62262000	256
"GE"	1994	"2267.3"	4469200	68
"GH"	1994	"17248.5"	24233431	102
"GR"	1994	"5117.8"	11305118	85
"GT"	1994	"4515.5"	13824463	129
"HN"	1994	"3143.4"	8249574	64
"HT"	1994	"1466.0"	9719932	350
"HU"	1994	"4215.099999999999"	10014324	107
"ID"	1994	"91312.6"	237424363	124
"IL"	1994	"1717.7"	7869900	371
"IQ"	1994	"4908.9"	30399572	74
"IR"	1994	"23927.1"	78868711	48
"IS"	1994	"365.5"	320060	3
"IT"	1994	"19631.6"	60681514	201
"JM"	1994	"643.3"	2847232	252
"JO"	1994	"592.7"	6508271	68
"JP"	1994	"25739.5"	127799000	337
"KE"	1994	"11364.2"	43013341	67
"KG"	1994	"1465.0"	5550239	27
"KH"	1994	"16358.4"	14805358	82
"KP"	1994	"3241.2000000000003"	24051218	198
"KR"	1994	"14685.6"	48875000	491
"KW"	1994	"690.5"	3566437	200
"KZ"	1994	"17454.100000000002"	16600000	6
"LB"	1994	"453.5"	4224000	404
"LK"	1994	"2131.6000000000004"	20860000	309
"LT"	1994	"4596.8"	3187176	50
"LU"	1994	"475.9"	509074	194
"LV"	1994	"1383.0"	2217053	34
"MA"	1994	"5889.5"	32545170	72
"MD"	1994	"637.9"	3559500	122
"MK"	1994	"515.5999999999999"	2055004	82
"MM"	1994	"26266.100000000002"	60280000	74
"MT"	1994	"60.900000000000006"	452515	1307
"MZ"	1994	"2217.1"	22894000	29
"NG"	1994	"35475.200000000004"	170123740	184
"NI"	1994	"3422.5"	5891199	42
"NP"	1994	"4508.099999999999"	29331000	199
"NZ"	1994	"11333.8"	4422700	17
"PE"	1994	"8313.0"	29496000	23
"PK"	1994	"30050.2"	177100000	214
"PL"	1994	"26757.5"	38186860	120
"PT"	1994	"4291.9"	10578776	115
"PY"	1994	"9180.300000000001"	6454548	14
"RU"	1994	"63728.200000000004"	143030106	8
"SA"	1994	"6248.8"	27136977	12
"SI"	1994	"1168.6000000000001"	2050189	101
"SK"	1994	"3380.2"	5445324	111
"SN"	1994	"6433.0"	12855153	65
"SV"	1994	"1387.1"	6134000	342
"SY"	1994	"5883.099999999999"	22530746	118
"TG"	1994	"2988.9"	6619000	117
"TH"	1994	"30244.800000000003"	667201532	132
"TJ"	1994	"1717.6"	7616000	49
"TM"	1994	"4955.2"	5110000	11
"TN"	1994	"2904.5"	10732900	63
"TR"	1994	"34913.5"	74724269	97
"TT"	1994	"275.8"	1227505	254
"TZ"	1994	"12947.5"	43188000	46
"UA"	1994	"20676.600000000002"	45888000	77
"UY"	1994	"7946.5"	3318535	19
"UZ"	1994	"11966.300000000001"	29559100	61
"VE"	1994	"15836.1"	27150	30
"VN"	1994	"33817.9"	91519289	259
"YE"	1994	"3599.9"	25130000	45
"ZA"	1994	"21870.2"	48810427	41
"ZM"	1994	"8229.900000000001"	12935000	17
"ZW"	1994	"4187.0"	12521000	26
