?iso2_str	?age	?val_str	?pop	?den
"SK"	2005	"4063.5000000000005"	5445324	111
"SN"	2005	"7662.4"	12855153	65
"SV"	2005	"3152.8"	6134000	342
"SY"	2005	"11901.199999999999"	22530746	118
"TG"	2005	"3731.9"	6619000	117
"TH"	2005	"89387.8"	667201532	132
"TJ"	2005	"3884.9"	7616000	49
"TM"	2005	"29513.100000000002"	5110000	11
"TN"	2005	"7245.4"	10732900	63
"TR"	2005	"64356.5"	74724269	97
"TT"	2005	"11054.7"	1227505	254
"TZ"	2005	"33609.9"	43188000	46
"UA"	2005	"70883.79999999999"	45888000	77
"UY"	2005	"19751.6"	3318535	19
"UZ"	2005	"42352.8"	29559100	61
"VE"	2005	"57497.4"	27150	30
"VN"	2005	"94325.40000000001"	91519289	259
"YE"	2005	"7761.099999999999"	25130000	45
"ZA"	2005	"65347.6"	48810427	41
"ZM"	2005	"21191.600000000002"	12935000	17
"ZW"	2005	"9657.9"	12521000	26
"AE"	2006	"23939.1"	8264070	99
"AM"	2006	"3234.9"	3262200	108
"AO"	2006	"17292.8"	18498000	15
"AR"	2006	"97702.1"	41281631	15
"AT"	2006	"8294.2"	8414638	1003
"AU"	2006	"122156.8"	22875104	3
"AZ"	2006	"16939.1"	9165000	106
"BA"	2006	"3037.4"	3839737	75
"BD"	2006	"97828.3"	148000000	964
"BD"	2006	"97828.3"	158570535	964
"BE"	2006	"9515.5"	11007020	355
"BH"	2006	"3176.4"	1234571	1627
"BJ"	2006	"7086.599999999999"	9598787	78
"BN"	2006	"4617.099999999999"	408786	67
"BO"	2006	"21003.0"	10907778	9
"BR"	2006	"421313.4"	192376496	22
"BW"	2006	"3875.5"	2029307	3
"CD"	2006	"69445.6"	71712867	29
"CG"	2006	"6649.099999999999"	3686000	11
"CH"	2006	"4946.1"	7952600	188
"CI"	2006	"14486.599999999999"	20617068	64
"CL"	2006	"17989.4"	17248450	23
"CM"	2006	"19927.3"	19100000	40
"CO"	2006	"63053.2"	46366364	41
"CY"	2006	"614.1999999999999"	1099341	117
"CY"	2006	"614.1999999999999"	838897	117
"DE"	2006	"57614.0"	81799600	229
"DZ"	2006	"46328.8"	37100000	15
"EC"	2006	"14776.400000000001"	15007343	54
"EE"	2006	"2252.0"	1340194	29
"EG"	2006	"51845.799999999996"	90000000	2755
"EG"	2006	"51845.799999999996"	90000000	7136
"EG"	2006	"51845.799999999996"	90000000	76
"ER"	2006	"2774.7000000000003"	5824000	43
"ES"	2006	"36476.4"	46030109	93
"ET"	2006	"60262.1"	82101998	74
"FI"	2006	"9506.7"	5404956	16
